取引番号,取引原資産,オプションの種類,方向," 取引内容 ","ステータス ",購入,"ペイアウト ","判定レート "," 取引時間 "," 終了時刻 "
741121330,AUD/USD," Turbo ",LOW,0.73215,取引終了,"￥3,000",---,0.73219,"2021/11/13 01:01:10","2021/11/13 01:04:10"
741120233,AUD/JPY," HighLow ",LOW,83.409,取引終了,"￥4,000","￥7,400",83.405,"2021/11/13 01:00:05","2021/11/13 01:05:00"
741119969,EUR/AUD," HighLow ",HIGH,1.56335,取引終了,"￥1,000",---,1.56327,"2021/11/13 01:00:00","2021/11/13 01:05:00"
741119515,EUR/AUD," HighLow ",HIGH,1.56337,取引終了,"￥1,000",---,1.56327,"2021/11/13 00:59:55","2021/11/13 01:05:00"
741119352,EUR/AUD," HighLow ",HIGH,1.56336,取引終了,"￥1,000",---,1.56327,"2021/11/13 00:59:53","2021/11/13 01:05:00"
741101973,USD/CAD," HighLow ",HIGH,1.25483,取引終了,"￥4,000","￥7,400",1.25554,"2021/11/13 00:20:04","2021/11/13 00:25:00"
741101888,NZD/USD," HighLow ",LOW,0.70404,取引終了,"￥4,000","￥7,400",0.70385,"2021/11/13 00:20:02","2021/11/13 00:25:00"
741095351,CHF/JPY," HighLow ",LOW,123.511,取引終了,"￥4,000",---,123.604,"2021/11/13 00:10:02","2021/11/13 00:15:00"
741090030,EUR/JPY," HighLow ",HIGH,130.262,取引終了,"￥4,000","￥7,400",130.312,"2021/11/13 00:01:38","2021/11/13 00:10:00"
741089981,CAD/JPY," HighLow ",HIGH,90.470,取引終了,"￥4,000","￥7,400",90.574,"2021/11/13 00:01:36","2021/11/13 00:10:00"
741089919,GBP/JPY," HighLow ",HIGH,152.489,取引終了,"￥4,000","￥7,400",152.641,"2021/11/13 00:01:33","2021/11/13 00:10:00"
741053634,EUR/JPY," HighLow ",HIGH,130.428,取引終了,"￥4,000","￥7,400",130.462,"2021/11/12 22:45:03","2021/11/12 22:50:00"
740933665,EUR/AUD," HighLow ",HIGH,1.56692,取引終了,"￥4,000","￥7,400",1.56771,"2021/11/12 17:38:56","2021/11/12 17:45:00"
740790526,GBP/JPY," HighLow ",LOW,152.661,取引終了,"￥4,000","￥7,400",152.643,"2021/11/12 09:45:04","2021/11/12 09:50:00"
740442406,NZD/JPY," HighLow ",HIGH,80.250,取引終了,"￥1,000",---,80.220,"2021/11/11 13:08:21","2021/11/11 13:15:00"
740442400,NZD/JPY," HighLow ",HIGH,80.250,取引終了,"￥1,000",---,80.220,"2021/11/11 13:08:20","2021/11/11 13:15:00"
740442395,NZD/JPY," HighLow ",HIGH,80.250,取引終了,"￥1,000",---,80.220,"2021/11/11 13:08:18","2021/11/11 13:15:00"
740387054,USD/JPY," Turbo ",LOW,114.076,取引終了,"￥1,000","￥1,850",114.030,"2021/11/11 10:05:42","2021/11/11 10:10:42"
740387025,USD/JPY," Turbo ",LOW,114.074,取引終了,"￥1,000","￥1,850",114.031,"2021/11/11 10:05:40","2021/11/11 10:10:40"
740340282,EUR/JPY," HighLow ",HIGH,131.031,取引終了,"￥4,000",---,130.964,"2021/11/11 03:06:47","2021/11/11 03:15:00"
740340217,EUR/USD," HighLow ",HIGH,1.14947,取引終了,"￥4,000",---,1.14910,"2021/11/11 03:06:42","2021/11/11 03:15:00"
740340161,GBP/JPY," HighLow ",HIGH,153.155,取引終了,"￥4,000",---,153.026,"2021/11/11 03:06:34","2021/11/11 03:15:00"
740305002,USD/CAD," HighLow ",LOW,1.24409,取引終了,"￥4,000","￥7,400",1.24408,"2021/11/11 00:55:04","2021/11/11 01:00:00"
740237928,EUR/JPY," HighLow ",LOW,131.165,取引終了,"￥4,000","￥7,400",131.161,"2021/11/10 23:05:05","2021/11/10 23:10:00"
